Date	Google Android	Apple iOS	RIM / Blackberry	Microsoft
Jan '12	48,6	29,5	15,2	4,4
Feb '12	50,1	30,2	13,4	3,9
Mar '12	51	30,7	12,3	3,9
Apr '12	50,8	31,4	11,6	4
May '12	50,9	31,9	11,4	4
Jun '12	51,6	32,4	10,7	3,8
Jul '12	52,2	33,4	9,5	3,6
Aug '12	52,6	34,3	8,3	3,6
Sep '12	52,5	34,3	8,4	3,6
Oct '12	53,6	34,3	7,8	3,2
Nov '12	53,7	35	7,3	3
Dec '12	53,4	36,3	6,4	2,9
Jan '13	52,3	37,8	5,9	3,1
Feb '13	51,7	38,9	5,4	3,2
Mar '13	52	39	5,2	3
Apr '13	52	39,2	5,1	3
May '13	52,4	39,2	4,8	3
Jun '13	52	39,9	4,4	3,1
Jul '13	51,8	40,4	4,3	3
Aug '13	51,6	40,7	4	3,2
Sep '13	51,8	40,6	3,8	3,3
Oct '13	52,2	40,6	3,6	3,2
Nov '13	51,9	41,2	3,5	3,1
Dec '13	51,5	41,8	3,4	3,1
Jan '14	51,7	41,6	3,1	3,2
Feb '14	52,1	41,3	2,9	3,4
Mar '14	52,2	41,4	2,7	3,3
Apr '14	52,5	41,4	2,5	3,3
May '14	52,1	41,9	2,3	3,4
Jun '14	51,9	42,1	2,4	3,4
Jul '14	51,5	42,4	2,3	3,6
Aug '14	52	42	2,3	3,5
Sep '14	52,1	41,7	2,3	3,6
Oct '14	52,3	41,9	2,1	3,5
Nov '14	52,6	41,8	2	3,4
Dec '14	53,1	41,6	1,8	3,4
Jan '15	53,2	41,3	1,8	3,6
Feb '15	52,8	41,7	1,8	3,5
Mar '15	52,4	42,6	1,6	3,3
Apr '15	52,2	43,1	1,5	3
May '15	52,1	43,5	1,3	3
Jun '15	51,6	44,1	1,2	2,9
Jul '15	51,4	44,2	1,3	2,9
Aug '15	51,7	44,1	1,2	2,9
Sep '15	52,3	43,6	1,2	2,9
Oct '15	52,9	43,3	1	2,7
Nov '15	53,1	43,1	1	2,8
Dec '15	53,3	42,9	0,9	2,9
Jan '16	52,8	43,6	0,8	2,7
Feb '16	52,7	43,9	0,8	2,5
Dec '16	54	43	-	-
Jan '17	53,2	44,6	0,6	1,6
Feb '17	53,3	44,6	0,6	1,5
Mar '17	53,4	44,5	0,5	1,6
Jun '17	53,3	44,9	0,5	1,3
Aug '17	53	45,5	0,5	1
Sep '17	53	45,6	0,4	1
Oct '17	53,9	44,6	0,4	1,1
Nov '17	53,7	44,8	0,4	1
Dec '17	53,6	45	0,4	1
Jan '18	53,4	45,3	0,4	0,9
Feb '18	53,4	45,4	0,3	0,8
Mar '18	53,5	45,3	0,3	0,8
Apr '18	54,3	44,6	0,3	0,8
May '18	54,4	44,3	0,3	0,9
Jun '18	54,1	44,5	0,3	1